,time,alb_QAS_L,lat_QAS_L,lon_QAS_L,cloud_QAS_L,alb_CEN1,lat_CEN1,lon_CEN1,cloud_CEN1,alb_CEN2,lat_CEN2,lon_CEN2,cloud_CEN2,alb_CP1,lat_CP1,lon_CP1,cloud_CP1,alb_DY2,lat_DY2,lon_DY2,cloud_DY2,alb_EGP,lat_EGP,lon_EGP,cloud_EGP,alb_FRE,lat_FRE,lon_FRE,cloud_FRE,alb_HUM,lat_HUM,lon_HUM,cloud_HUM,alb_JAR,lat_JAR,lon_JAR,cloud_JAR,alb_JAR_O,lat_JAR_O,lon_JAR_O,cloud_JAR_O,alb_KAN_L,lat_KAN_L,lon_KAN_L,cloud_KAN_L,alb_KAN_Lv3,lat_KAN_Lv3,lon_KAN_Lv3,cloud_KAN_Lv3,alb_KAN_M,lat_KAN_M,lon_KAN_M,cloud_KAN_M,alb_KAN_U,lat_KAN_U,lon_KAN_U,cloud_KAN_U,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L,alb_KPC_U,lat_KPC_U,lon_KPC_U,cloud_KPC_U,alb_NAE,lat_NAE,lon_NAE,cloud_NAE,alb_NAU,lat_NAU,lon_NAU,cloud_NAU,alb_NEM,lat_NEM,lon_NEM,cloud_NEM,alb_NSE,lat_NSE,lon_NSE,cloud_NSE,alb_NUK_K,lat_NUK_K,lon_NUK_K,cloud_NUK_K,alb_NUK_L,lat_NUK_L,lon_NUK_L,cloud_NUK_L,alb_NUK_N,lat_NUK_N,lon_NUK_N,cloud_NUK_N,alb_NUK_Uv3,lat_NUK_Uv3,lon_NUK_Uv3,cloud_NUK_Uv3,alb_QAS_A,lat_QAS_A,lon_QAS_A,cloud_QAS_A,alb_QAS_L_y,lat_QAS_L_y,lon_QAS_L_y,cloud_QAS_L_y,alb_QAS_Lv3,lat_QAS_Lv3,lon_QAS_Lv3,cloud_QAS_Lv3,alb_QAS_M,lat_QAS_M,lon_QAS_M,cloud_QAS_M,alb_QAS_Mv3,lat_QAS_Mv3,lon_QAS_Mv3,cloud_QAS_Mv3,alb_QAS_U,lat_QAS_U,lon_QAS_U,cloud_QAS_U,alb_SCO_L,lat_SCO_L,lon_SCO_L,cloud_SCO_L,alb_SCO_U,lat_SCO_U,lon_SCO_U,cloud_SCO_U,alb_SDL,lat_SDL,lon_SDL,cloud_SDL,alb_SDM,lat_SDM,lon_SDM,cloud_SDM,alb_SWC,lat_SWC,lon_SWC,cloud_SWC,alb_SWC_O,lat_SWC_O,lon_SWC_O,cloud_SWC_O,alb_TAS_A,lat_TAS_A,lon_TAS_A,cloud_TAS_A,alb_TAS_L,lat_TAS_L,lon_TAS_L,cloud_TAS_L,alb_TAS_U,lat_TAS_U,lon_TAS_U,cloud_TAS_U,alb_THU_L,lat_THU_L,lon_THU_L,cloud_THU_L,alb_THU_U,lat_THU_U,lon_THU_U,cloud_THU_U,alb_THU_U2,lat_THU_U2,lon_THU_U2,cloud_THU_U2,alb_TUN,lat_TUN,lon_TUN,cloud_TUN,alb_UPE_L,lat_UPE_L,lon_UPE_L,cloud_UPE_L,alb_UPE_U,lat_UPE_U,lon_UPE_U,cloud_UPE_U,alb_WEG_L,lat_WEG_L,lon_WEG_L,cloud_WEG_L,alb_ZAK_Lv3,lat_ZAK_Lv3,lon_ZAK_Lv3,cloud_ZAK_Lv3,alb_ZAK_Uv3,lat_ZAK_Uv3,lon_ZAK_Uv3,cloud_ZAK_Uv3
10,2017-05-11,0.7051,61.030773,-46.849092,0.632,,,,,,,,,,,,,,,,,0.8203,75.624942,-35.974037,0.4464,,,,,,,,,,,,,,,,,0.6124,67.095329,-49.95212,0.3989,,,,,0.7556,67.066995,-48.836693,0.3869,0.8178,67.000411,-47.026518,0.2066,0.7898,79.910886,-24.082608,0.2414,0.8341,79.834678,-25.165704,0.2062,,,,,,,,,,,,,,,,,0.3302,64.162256,-51.358667,0.1814,0.5903,64.482473,-49.537025,0.8222,,,,,,,,,,,,,0.7051,61.030773,-46.849092,0.632,,,,,0.7358,61.099693,-46.833078,0.6842,,,,,0.722,61.175009,-46.819738,0.4663,0.6966,72.222598,-26.818076,0.4156,0.8282,72.394047,-27.252486,0.3697,,,,,,,,,,,,,,,,,0.7223,65.778516,-38.898707,0.5522,,,,,,,,,0.7474,76.3998,-68.266487,0.5476,0.7247,76.419654,-68.1464,0.4506,,,,,,,,,0.8318,72.893226,-54.295451,0.8649,0.8868,72.887541,-53.581769,0.8651,,,,,,,,,,,,
11,2017-05-12,0.8151,61.030773,-46.849093,0.711,,,,,,,,,,,,,,,,,0.7781,75.624946,-35.97402,0.3581,,,,,,,,,,,,,,,,,0.7429,67.095334,-49.952127,0.9205,,,,,0.8045,67.066997,-48.8367,0.8148,0.862,67.000406,-47.026526,0.6757,0.7871,79.910886,-24.082605,0.1609,0.8274,79.834682,-25.165553,0.2177,,,,,,,,,,,,,,,,,0.4596,64.16226,-51.358671,0.2158,0.5405,64.482475,-49.537034,0.528,,,,,,,,,,,,,0.8151,61.030773,-46.849093,0.711,,,,,0.8613,61.099679,-46.83306,0.7282,,,,,0.7595,61.175012,-46.819735,0.5546,0.7895,72.222605,-26.818087,0.707,0.8306,72.394047,-27.252486,0.6269,,,,,,,,,,,,,,,,,0.8558,65.77851,-38.898696,0.5914,,,,,,,,,0.7677,76.399806,-68.266489,0.1262,0.806,76.419663,-68.146409,0.0826,,,,,,,,,0.8224,72.893226,-54.295456,0.964,0.7913,72.88754,-53.58178,0.3157,,,,,,,,,,,,
12,2017-05-13,0.7732,61.030772,-46.849095,0.5694,,,,,,,,,,,,,,,,,0.8158,75.624946,-35.974029,0.2045,,,,,,,,,,,,,,,,,0.6722,67.095332,-49.952135,0.3193,,,,,0.757,67.066996,-48.836704,0.3173,0.8185,67.000407,-47.026525,0.241,0.7851,79.910886,-24.082607,0.1972,0.8254,79.834682,-25.165657,0.2815,,,,,,,,,,,,,,,,,0.5365,64.162259,-51.358669,0.7067,0.6583,64.482476,-49.537044,0.6702,,,,,,,,,,,,,0.7732,61.030772,-46.849095,0.5694,,,,,0.791,61.099688,-46.833062,0.5335,,,,,0.7382,61.175002,-46.819741,0.3781,0.7497,72.222602,-26.81809,0.3555,0.8006,72.394047,-27.252486,0.2565,,,,,,,,,,,,,,,,,0.7476,65.77851,-38.898688,0.5266,,,,,,,,,0.764,76.399807,-68.266499,0.2124,0.798,76.419661,-68.146394,0.119,,,,,,,,,0.7983,72.893227,-54.295449,0.7427,0.7697,72.887541,-53.581796,0.1108,,,,,,,,,,,,
13,2017-05-14,0.6924,61.030773,-46.849093,0.1688,,,,,,,,,,,,,,,,,0.8206,75.62495,-35.974025,0.2623,,,,,,,,,,,,,,,,,0.6423,67.09533,-49.952141,0.0519,,,,,0.7674,67.066996,-48.836702,0.0689,0.8165,67.000417,-47.026515,0.0935,0.7686,79.910885,-24.08261,0.3815,0.8463,79.834677,-25.165638,0.5357,,,,,,,,,,,,,,,,,0.4989,64.162258,-51.358664,0.1487,0.5499,64.482477,-49.537048,0.0078,,,,,,,,,,,,,0.6924,61.030773,-46.849093,0.1688,,,,,0.7537,61.099688,-46.833054,0.171,,,,,0.7316,61.175005,-46.81974,0.0195,0.7402,72.222599,-26.818086,0.5593,0.8142,72.394047,-27.252486,0.4968,,,,,,,,,,,,,,,,,0.733,65.778509,-38.898682,0.6378,,,,,,,,,0.7641,76.399815,-68.266442,0.1312,0.7884,76.419661,-68.146387,0.0941,,,,,,,,,0.7661,72.893228,-54.295454,0.4664,0.8322,72.88754,-53.581816,0.3403,,,,,,,,,,,,
14,2017-05-15,0.6665,61.030775,-46.849098,0.1635,,,,,,,,,,,,,,,,,0.8028,75.624949,-35.974047,0.3321,,,,,,,,,,,,,,,,,0.6039,67.09533,-49.952152,0.0915,,,,,0.7582,67.066995,-48.836712,0.117,0.8095,67.00042,-47.026547,0.1076,0.7855,79.910888,-24.082608,0.1734,0.828,79.834659,-25.165719,0.223,,,,,,,,,,,,,,,,,0.5157,64.162254,-51.358678,0.1375,0.5259,64.482478,-49.537063,0.0418,,,,,,,,,,,,,0.6665,61.030775,-46.849098,0.1635,,,,,0.717,61.099694,-46.833051,0.1903,,,,,0.6898,61.175004,-46.819747,0.0914,0.7262,72.222593,-26.818092,0.4077,0.8103,72.394047,-27.252486,0.3551,,,,,,,,,,,,,,,,,0.8778,65.778507,-38.898695,0.9724,,,,,,,,,0.7544,76.399821,-68.266476,0.0938,0.7848,76.419658,-68.146411,0.0847,,,,,,,,,0.741,72.893223,-54.295453,0.5672,0.8182,72.887539,-53.581839,0.4454,,,,,,,,,,,,
15,2017-05-16,0.7077,61.03077,-46.849101,0.6464,,,,,,,,,,,,,,,,,0.7679,75.624946,-35.974053,0.3094,,,,,,,,,,,,,,,,,0.5742,67.095333,-49.952156,0.1203,,,,,0.7585,67.066997,-48.836724,0.1147,0.8034,67.000414,-47.026552,0.1579,0.7829,79.910884,-24.082597,0.2114,0.819,79.834671,-25.165625,0.2784,,,,,,,,,,,,,,,,,0.5757,64.162258,-51.358668,0.3688,0.5075,64.482482,-49.537068,0.0786,,,,,,,,,,,,,0.7077,61.03077,-46.849101,0.6464,,,,,0.7191,61.099685,-46.833049,0.2861,,,,,0.7002,61.174993,-46.819756,0.1545,0.7085,72.222596,-26.81808,0.5429,0.7923,72.394047,-27.252486,0.5174,,,,,,,,,,,,,,,,,0.7741,65.778506,-38.898689,0.458,,,,,,,,,0.7671,76.399815,-68.266497,0.169,0.7782,76.419655,-68.146418,0.0811,,,,,,,,,0.7558,72.893222,-54.295439,0.6737,0.8424,72.887462,-53.581884,0.6828,,,,,,,,,,,,
16,2017-05-17,0.6749,61.030772,-46.849095,0.4907,,,,,,,,,,,,,,,,,0.8003,75.624842,-35.97448,0.4796,,,,,,,,,,,,,,,,,0.5727,67.09533,-49.952165,0.327,,,,,0.7815,67.067002,-48.83673,0.3504,0.8237,67.000417,-47.026542,0.3055,0.7808,79.910886,-24.082597,0.266,0.8213,79.834676,-25.165576,0.3433,,,,,,,,,,,,,,,,,0.6755,64.162259,-51.358663,0.9047,0.529,64.482482,-49.537075,0.5624,,,,,,,,,,,,,0.6749,61.030772,-46.849095,0.4907,,,,,0.7295,61.099678,-46.833033,0.4582,,,,,0.7386,61.174994,-46.819749,0.4212,0.7014,72.222598,-26.818082,0.3063,0.7897,72.394047,-27.252486,0.1392,,,,,,,,,,,,,,,,,0.724,65.778504,-38.898684,0.1916,,,,,,,,,0.8495,76.399836,-68.266516,0.8486,0.8386,76.419658,-68.146402,0.8224,,,,,,,,,0.7765,72.893223,-54.295445,0.7966,0.8536,72.887535,-53.581863,0.767,,,,,,,,,,,,
17,2017-05-18,0.7871,61.030765,-46.849092,0.9696,,,,,,,,,,,,,,,,,0.8264,75.624844,-35.974472,0.3902,,,,,,,,,,,,,,,,,0.5777,67.095327,-49.952171,0.9405,,,,,0.826,67.066999,-48.836737,0.9238,0.8783,67.000405,-47.026526,0.9115,0.7998,79.910887,-24.082602,0.6326,0.8173,79.834682,-25.165653,0.2812,,,,,,,,,,,,,,,,,0.7511,64.162254,-51.358669,0.9944,0.5966,64.482482,-49.537085,0.9374,,,,,,,,,,,,,0.7871,61.030765,-46.849092,0.9696,,,,,0.8357,61.099682,-46.833054,0.9855,,,,,0.8355,61.17499,-46.819756,0.9951,0.6937,72.222603,-26.818067,0.343,0.7648,72.394047,-27.252486,0.1866,,,,,,,,,,,,,,,,,0.715,65.778504,-38.898675,0.2826,,,,,,,,,0.8407,76.399828,-68.266518,0.8953,0.8738,76.419657,-68.146419,0.8593,,,,,,,,,0.8624,72.893226,-54.295446,0.9156,0.9146,72.887532,-53.581884,0.869,,,,,,,,,,,,
18,2017-05-19,0.7673,61.030759,-46.849092,0.9997,,,,,,,,,,,,,,,,,0.7986,75.624843,-35.974482,0.305,,,,,,,,,,,,,,,,,0.5463,67.095327,-49.952185,0.7523,,,,,0.8073,67.067005,-48.836737,0.8633,0.877,67.000414,-47.026556,0.9028,0.8319,79.910888,-24.082604,0.5678,0.8318,79.834674,-25.165654,0.5257,,,,,,,,,,,,,,,,,0.7861,64.162257,-51.358667,0.9786,0.5017,64.482486,-49.537093,0.7863,,,,,,,,,,,,,0.7673,61.030759,-46.849092,0.9997,,,,,0.848,61.099678,-46.833049,1.0,,,,,0.8529,61.174999,-46.819766,1.0,0.6158,72.222594,-26.81808,0.2831,0.737,72.394047,-27.252486,0.1665,,,,,,,,,,,,,,,,,0.7739,65.778505,-38.898674,0.8876,,,,,,,,,0.8406,76.399804,-68.266495,0.7011,0.8758,76.419662,-68.146426,0.6557,,,,,,,,,0.8327,72.893226,-54.295449,1.0,0.8744,72.88753,-53.581897,0.8059,,,,,,,,,,,,
19,2017-05-20,0.7466,61.03076,-46.849091,0.9547,,,,,,,,,,,,,,,,,0.8178,75.624847,-35.974473,0.2225,,,,,,,,,,,,,,,,,0.5712,67.095327,-49.952191,0.8044,,,,,0.811,67.066999,-48.836752,0.7803,0.8993,67.000408,-47.026551,0.8979,0.8072,79.910887,-24.082603,0.446,0.8262,79.834682,-25.165748,0.3798,,,,,,,,,,,,,,,,,0.8472,64.16226,-51.35867,0.9955,0.4749,64.482486,-49.537106,0.8805,,,,,,,,,,,,,0.7466,61.03076,-46.849091,0.9547,,,,,0.7948,61.099672,-46.833088,0.9449,,,,,0.8146,61.174994,-46.819761,0.9392,0.5453,72.222591,-26.818087,0.3129,0.6744,72.394047,-27.252486,0.213,,,,,,,,,,,,,,,,,0.6988,65.778505,-38.898668,0.4749,,,,,,,,,0.7907,76.399804,-68.266491,0.1608,0.8292,76.419663,-68.146423,0.1178,,,,,,,,,0.896,72.893226,-54.29545,0.9927,0.9213,72.887529,-53.581921,0.9775,,,,,,,,,,,,
