time,alb_QAS_M,lat_QAS_M,lon_QAS_M,cloud_QAS_M
2018-05-26,0.8512,61.099353,-46.833227,0.5742
2018-05-27,0.8182,61.099355,-46.833236,0.6662
2018-05-28,0.7884,61.099348,-46.833252,0.1606
2018-05-29,0.8097,61.099354,-46.833253,0.6434
2018-05-30,0.923,61.099353,-46.83325,0.9507
2018-05-31,0.8728,61.099348,-46.833248,0.9157
2018-06-01,0.8654,61.099343,-46.833249,0.9598
2018-06-02,0.8706,61.099346,-46.833257,0.9728
2018-06-03,0.8287,61.099348,-46.833264,1.0
2018-06-04,0.7585,61.099345,-46.833255,0.9115
2018-06-05,0.7506,61.099344,-46.833259,0.7574
2018-06-06,0.8164,61.099343,-46.833246,0.7852
2018-06-07,0.8991,61.099342,-46.833258,0.9879
2018-06-08,0.7706,61.099337,-46.833257,0.3458
2018-06-09,0.757,61.099342,-46.833259,0.5665
2018-06-10,0.7747,61.099338,-46.833257,0.8879
2018-06-11,0.7398,61.099342,-46.833267,0.7296
2018-06-12,0.7293,61.099341,-46.833264,0.703
2018-06-13,0.7066,61.099341,-46.833265,0.3134
2018-06-14,0.815,61.099341,-46.833262,0.8852
2018-06-15,0.7556,61.09934,-46.833261,0.7747
2018-06-16,0.7046,61.099339,-46.833264,0.391
2018-06-17,0.7313,61.099333,-46.833266,0.7883
2018-06-18,0.7011,61.099331,-46.833266,0.4035
2018-06-19,0.6997,61.099332,-46.833262,0.3482
2018-06-20,0.7165,61.099334,-46.833268,0.8618
2018-06-21,0.8567,61.099333,-46.83326,0.9695
2018-06-22,0.8478,61.099332,-46.833261,0.9591
2018-06-23,0.779,61.099328,-46.833266,0.7718
2018-06-24,0.8023,61.099331,-46.833263,0.865
2018-06-25,0.7372,61.099329,-46.833264,0.7727
2018-06-26,0.7038,61.099327,-46.833262,0.4974
2018-06-27,0.7001,61.099325,-46.833268,0.4467
2018-06-28,0.6917,61.099324,-46.833265,0.8132
2018-06-29,0.6798,61.099323,-46.833267,0.5364
2018-06-30,0.7346,61.099323,-46.833259,0.939
2018-07-01,0.8742,61.099323,-46.833249,0.9729
2018-07-02,0.7599,61.099315,-46.833256,0.4516
2018-07-03,0.7126,61.099316,-46.833263,0.34
2018-07-04,0.7242,61.099318,-46.833261,0.9505
2018-07-05,0.6608,61.099318,-46.833269,0.9067
2018-07-06,0.6446,61.09931,-46.833271,0.6502
2018-07-07,0.7111,61.099313,-46.833268,0.8672
2018-07-08,0.6682,61.099311,-46.83326,0.9742
2018-07-09,0.6358,61.099308,-46.833265,0.6092
2018-07-10,0.6715,61.099309,-46.833265,0.9279
2018-07-11,0.5326,61.099311,-46.833269,0.9656
2018-07-12,0.6073,61.09931,-46.83326,0.9964
2018-07-13,0.6956,61.099307,-46.833271,0.382
2018-07-14,0.6292,61.099305,-46.833272,0.2561
2018-07-15,0.4346,61.099303,-46.833279,0.4688
2018-07-16,0.5375,61.099302,-46.833268,0.9106
2018-07-17,0.3035,61.099305,-46.833264,0.9665
2018-07-18,0.2443,61.099299,-46.833269,0.9799
2018-07-19,0.2745,61.099299,-46.833266,0.9977
2018-07-20,0.3262,61.099297,-46.833268,0.9811
2018-07-21,0.3887,61.099295,-46.833276,0.8923
2018-07-22,0.3875,61.099294,-46.833277,0.2272
2018-07-23,0.3584,61.099292,-46.833277,0.171
2018-07-24,0.3674,61.099292,-46.833274,0.4496
2018-07-25,0.3513,61.099288,-46.833275,0.151
2018-07-26,0.3452,61.099289,-46.83328,0.254
2018-07-27,0.368,61.099288,-46.833281,0.7285
2018-07-28,0.3557,61.099289,-46.833285,0.7795
2018-07-29,0.3477,61.099285,-46.833279,0.245
2018-07-30,0.2985,61.099285,-46.83328,0.3126
2018-07-31,0.2548,61.099283,-46.83328,0.7728
2018-08-01,0.2502,61.099282,-46.833272,0.9707
2018-08-02,0.2444,61.099281,-46.833284,0.2679
2018-08-03,0.2452,61.099282,-46.833287,0.5045
2018-08-04,0.2589,61.099277,-46.833287,0.5663
2018-08-05,0.2407,61.099277,-46.833277,0.869
2018-08-06,0.2463,61.099273,-46.833285,0.2507
2018-08-07,0.2402,61.099276,-46.833286,0.4644
2018-08-08,0.2044,61.09927,-46.833274,0.9998
2018-08-09,0.2002,61.099273,-46.833283,0.4624
2018-08-10,0.2053,61.099272,-46.833292,0.37
2018-08-11,0.1984,61.099269,-46.833285,0.8181
2018-08-12,0.1922,61.099267,-46.833283,0.953
2018-08-13,0.2006,61.099267,-46.833285,0.9198
2018-08-14,0.1949,61.099268,-46.833287,0.9477
2018-08-15,0.186,61.099267,-46.833293,0.9683
2018-08-16,0.2329,61.099266,-46.833293,0.9556
2018-08-17,0.252,61.099263,-46.833297,0.4191
2018-08-18,0.2186,61.099267,-46.833286,0.9915
2018-08-19,0.2211,61.099264,-46.833288,0.9807
2018-08-20,0.2449,61.099259,-46.83329,0.6078
2018-08-21,0.2297,61.099259,-46.833292,0.6227
2018-08-22,0.2517,61.099257,-46.833297,0.6042
2018-08-23,0.2374,61.099256,-46.8333,0.5754
2018-08-24,0.2131,61.099257,-46.83329,0.9632
2018-08-25,0.2794,61.099256,-46.833289,0.8106
2018-08-26,0.4612,61.099258,-46.833296,0.6393
2018-08-27,0.3624,61.099254,-46.833302,0.2427
2018-08-28,0.3566,61.099252,-46.833305,0.673
2018-08-29,0.2608,61.09925,-46.833293,0.975
2018-08-30,0.3028,61.099252,-46.833305,0.4432
2018-08-31,0.3728,61.099266,-46.833324,0.267
2018-09-01,0.3315,61.099289,-46.833344,0.1548
2018-09-02,0.2958,61.099287,-46.833336,0.8496
2018-09-03,0.4929,61.099289,-46.833338,0.9609
