time,alb_CEN1,lat_CEN1,lon_CEN1,cloud_CEN1
2017-07-24,0.7644,77.181783,-61.11583,0.1457
2017-07-25,0.758,77.181783,-61.11583,0.1948
2017-07-26,0.9012,77.181783,-61.11583,0.4967
2017-07-27,0.8953,77.181783,-61.11583,0.8245
2017-07-28,0.8637,77.181783,-61.11583,0.5449
2017-07-29,0.862,77.181783,-61.11583,0.5369
2017-07-30,0.8952,77.181783,-61.11583,0.817
2017-07-31,0.9256,77.181783,-61.11583,0.9366
2017-08-01,0.919,77.181783,-61.11583,0.8256
2017-08-02,0.9309,77.181783,-61.11583,0.7943
2017-08-03,0.9411,77.181783,-61.11583,0.9654
2017-08-04,0.8938,77.181783,-61.11583,0.8014
2017-08-05,0.9237,77.181783,-61.11583,0.864
2017-08-06,0.8939,77.181783,-61.11583,0.8011
2017-08-07,0.843,77.181783,-61.11583,0.7833
2017-08-08,0.9174,77.181783,-61.11583,0.924
2017-08-09,0.905,77.181783,-61.11583,0.8786
2017-08-10,0.9055,77.181783,-61.11583,0.9447
2017-08-11,0.9568,77.181783,-61.11583,0.9247
2017-08-12,0.9632,77.181783,-61.11583,0.9567
2017-08-13,0.9894,77.181783,-61.11583,0.9729
2017-08-14,0.9816,77.181783,-61.11583,0.9742
2017-08-15,0.8402,77.181783,-61.11583,0.253
2017-08-16,0.9648,77.181783,-61.11583,0.8198
2017-08-17,0.8081,77.181783,-61.11583,0.1989
2017-08-18,0.7681,77.181783,-61.11583,0.2589
2017-08-19,0.756,77.181783,-61.11583,0.3419
2017-08-20,0.7498,77.181783,-61.11583,0.2734
2017-08-21,0.7472,77.181783,-61.11583,0.3991
2017-08-22,0.727,77.181783,-61.11583,0.1984
2017-08-23,0.816,77.181783,-61.11583,0.653
2017-08-26,0.8954,77.181783,-61.11583,0.7279
2017-08-27,0.9392,77.181783,-61.11583,0.9931
2017-08-28,0.9368,77.181783,-61.11583,0.9722
2017-08-29,0.9429,77.181783,-61.11583,0.9685
2017-08-30,0.9311,77.181783,-61.11583,0.9548
2018-05-01,0.7267,77.181783,-61.11583,0.1898
2018-05-02,0.7388,77.181783,-61.11583,0.169
2018-05-03,0.7986,77.181783,-61.11583,0.3514
2018-05-04,0.8285,77.181783,-61.11583,0.5667
2018-05-05,0.7698,77.181783,-61.11583,0.5497
2018-05-06,0.8084,77.181783,-61.11583,0.4514
2018-05-07,0.7894,77.181783,-61.11583,0.5936
2018-05-08,0.8157,77.181783,-61.11583,0.5752
2018-05-09,0.7804,77.181783,-61.11583,0.428
2018-05-10,0.791,77.181783,-61.11583,0.4221
2018-05-11,0.7443,77.181783,-61.11583,0.2437
2018-05-12,0.7581,77.181783,-61.11583,0.2639
2018-05-13,0.8751,77.181783,-61.11583,0.6702
2018-05-14,0.768,77.181783,-61.11583,0.225
2018-05-15,0.8486,77.181783,-61.11583,0.5305
2018-05-16,0.876,77.181783,-61.11583,0.7478
2018-05-17,0.7632,77.181783,-61.11583,0.2283
2018-05-18,0.7237,77.181783,-61.11583,0.1216
2018-05-19,0.7645,77.181783,-61.11583,0.3195
2018-05-20,0.7757,77.181783,-61.11583,0.2473
2018-05-21,0.8689,77.181783,-61.11583,0.7439
2018-05-22,0.8482,77.181783,-61.11583,0.7581
2018-05-23,0.7891,77.181783,-61.11583,0.3228
2018-05-24,0.8199,77.181783,-61.11583,0.6194
2018-05-25,0.8062,77.181783,-61.11583,0.5127
2018-05-26,0.7841,77.181783,-61.11583,0.4202
2018-05-27,0.8133,77.181783,-61.11583,0.6355
2018-05-28,0.8075,77.181783,-61.11583,0.4703
2018-05-29,0.8486,77.181783,-61.11583,0.7122
2018-05-30,0.8315,77.181783,-61.11583,0.6898
2018-05-31,0.868,77.181783,-61.11583,0.7765
2018-06-01,0.8366,77.181783,-61.11583,0.4664
2018-06-02,0.8689,77.181783,-61.11583,0.8121
2018-06-03,0.7877,77.181783,-61.11583,0.3734
2018-06-04,0.7794,77.181783,-61.11583,0.262
2018-06-05,0.7574,77.181783,-61.11583,0.2269
2018-06-06,0.785,77.181783,-61.11583,0.4654
2018-06-07,0.8118,77.181783,-61.11583,0.1717
2018-06-08,0.8998,77.181783,-61.11583,0.9098
2018-06-09,0.8732,77.181783,-61.11583,0.8413
