time,alb_KAN_U,lat_KAN_U,lon_KAN_U,cloud_KAN_U
2017-08-22,0.8967,67.000423,-47.026832,0.973
2017-08-23,0.8549,67.00041,-47.026852,0.6765
2017-08-24,0.8486,67.00041,-47.026872,0.3821
2017-08-25,0.8455,67.000418,-47.026885,0.5742
2017-08-26,0.8341,67.000421,-47.026862,0.677
2017-08-27,0.8743,67.000422,-47.026892,0.5688
2017-08-28,0.7909,67.000412,-47.026893,0.3079
2017-08-29,0.8981,67.000412,-47.026878,1.0
2017-08-30,0.881,67.00043,-47.026883,0.9993
2017-08-31,0.9384,67.00044,-47.026883,0.9714
2017-09-01,0.8913,67.00041,-47.026889,0.9838
2017-09-02,0.9128,67.000408,-47.026884,0.9961
2017-09-03,0.8911,67.00041,-47.026907,0.9404
2017-09-04,0.8242,67.000415,-47.026869,0.3933
2017-09-05,0.8359,67.00041,-47.026921,0.2106
2017-09-06,0.8081,67.000415,-47.026901,0.119
2017-09-07,0.8363,67.00042,-47.026912,0.5273
2017-09-08,0.8148,67.000413,-47.026907,0.5782
2017-09-09,0.8095,67.000415,-47.026899,0.3913
2017-09-10,0.8889,67.00042,-47.026914,0.9679
2017-09-11,0.8614,67.000414,-47.026913,0.8605
2017-09-12,0.7531,67.000415,-47.026898,0.5083
2017-09-13,0.8883,67.00043,-47.026908,0.8829
2017-09-14,0.8734,67.000422,-47.026926,0.9655
2017-09-15,0.935,67.000423,-47.02694,0.997
2017-09-16,0.9128,67.000421,-47.026949,0.949
2017-09-17,0.8978,67.000414,-47.026932,0.9498
2017-09-18,0.7709,67.000412,-47.026969,1.0
2017-09-19,0.6837,67.000419,-47.026984,0.9992
2017-09-20,0.8024,67.000415,-47.02697,0.6252
2017-09-21,0.7946,67.000415,-47.026995,0.4294
2017-09-22,0.9095,67.000416,-47.026987,0.7551
2017-09-23,0.8064,67.000424,-47.027005,0.2369
2017-09-24,0.854,67.00042,-47.02696,0.6417
2017-09-25,0.9153,67.000414,-47.026978,0.4434
2017-09-26,0.8949,67.000414,-47.026992,0.4496
2017-09-27,0.8272,67.00042,-47.02698,0.4368
2017-09-28,0.8667,67.000422,-47.026975,0.5927
2017-09-29,0.824,67.000404,-47.026981,0.3869
2017-09-30,0.8365,67.000427,-47.02702,0.483
2018-05-01,0.8643,67.000449,-47.027748,0.6608
2018-05-02,0.8548,67.000441,-47.027791,0.4323
2018-05-03,0.8666,67.000439,-47.027788,0.369
2018-05-04,0.8501,67.000441,-47.027789,0.5886
2018-05-05,0.8822,67.000439,-47.027773,0.8359
2018-05-06,0.8461,67.000457,-47.027767,0.6079
2018-05-07,0.8421,67.000445,-47.027812,0.2739
2018-05-08,0.8424,67.000455,-47.027834,0.1515
2018-05-09,0.8591,67.000443,-47.027762,0.3593
2018-05-10,0.833,67.000438,-47.027781,0.3508
2018-05-11,0.8352,67.000456,-47.027774,0.7585
2018-05-12,0.9046,67.000462,-47.027774,0.9582
2018-05-13,0.9324,67.000462,-47.027852,0.7899
2018-05-14,0.8618,67.000469,-47.027822,0.3287
2018-05-15,0.8271,67.000474,-47.027778,0.0634
2018-05-16,0.8447,67.000471,-47.027788,0.4017
2018-05-17,0.8399,67.000457,-47.027832,0.4983
2018-05-18,0.8242,67.000456,-47.027769,0.3566
2018-05-19,0.8132,67.000447,-47.02782,0.0511
2018-05-20,0.8153,67.000452,-47.027832,0.6113
2018-05-21,0.812,67.000455,-47.027841,0.1127
2018-05-22,0.8625,67.00046,-47.027824,0.4661
2018-05-23,0.8356,67.000445,-47.027817,0.5431
2018-05-24,0.8185,67.000459,-47.027814,0.2647
2018-05-25,0.8079,67.000447,-47.027858,0.2251
2018-05-26,0.8422,67.000457,-47.027837,0.7942
2018-05-27,0.8444,67.000461,-47.027834,0.4345
2018-05-28,0.8218,67.000443,-47.027816,0.3178
2018-05-29,0.8109,67.000456,-47.027851,0.1218
2018-05-30,0.8633,67.000465,-47.027849,0.7625
2018-05-31,0.8978,67.000444,-47.027854,0.8863
2018-06-01,0.9125,67.000444,-47.027854,0.9968
2018-06-02,0.9022,67.00044,-47.027842,0.9788
2018-06-03,0.8945,67.000444,-47.027802,0.96
2018-06-04,0.8553,67.000459,-47.027746,0.8444
2018-06-05,0.7824,67.000448,-47.027791,0.3959
2018-06-06,0.8701,67.000447,-47.027807,0.6766
2018-06-07,0.8603,67.000442,-47.027837,0.8288
2018-06-08,0.834,67.000445,-47.027837,0.5491
2018-06-09,0.803,67.000443,-47.027863,0.1189
2018-06-10,0.7789,67.000453,-47.027855,0.2155
2018-06-11,0.7814,67.000446,-47.027878,0.1636
2018-06-12,0.7749,67.000453,-47.027858,0.2284
2018-06-13,0.8331,67.000454,-47.027853,0.8069
2018-06-14,0.8199,67.000447,-47.027865,0.6317
2018-06-15,0.8277,67.000442,-47.027873,0.5766
2018-06-16,0.796,67.000439,-47.027909,0.137
2018-06-17,0.859,67.000445,-47.027881,0.7691
2018-06-18,0.8018,67.00045,-47.027889,0.4965
2018-06-19,0.7913,67.000452,-47.027903,0.0758
2018-06-20,0.8012,67.000454,-47.027894,0.3077
2018-06-21,0.8048,67.000451,-47.02791,0.8712
2018-06-22,0.8381,67.000447,-47.027882,0.4463
2018-06-23,0.899,67.000447,-47.0279,0.9071
2018-06-24,0.8463,67.000455,-47.02793,0.585
2018-06-25,0.8873,67.000466,-47.027946,0.9246
2018-06-26,0.8474,67.000454,-47.027912,0.4123
2018-06-27,0.8286,67.000455,-47.027929,0.0736
2018-06-28,0.9077,67.000464,-47.027899,0.8256
2018-06-29,0.8633,67.000467,-47.027938,0.7675
2018-06-30,0.8839,67.000472,-47.027939,0.7111
2018-07-01,0.8595,67.000447,-47.027883,0.8768
2018-07-02,0.8626,67.00045,-47.027898,0.8479
2018-07-03,0.8113,67.000465,-47.027894,0.5061
2018-07-04,0.8294,67.000457,-47.027921,0.6502
2018-07-05,0.8589,67.000453,-47.027916,0.9002
2018-07-06,0.8262,67.000468,-47.027897,0.7852
2018-07-07,0.7855,67.000453,-47.027941,0.3149
2018-07-08,0.8045,67.000466,-47.027958,0.7962
2018-07-09,0.8787,67.00047,-47.027979,0.9461
2018-07-10,0.7961,67.000451,-47.027943,0.1245
2018-07-11,0.8065,67.000477,-47.027978,0.5696
2018-07-12,0.8372,67.000453,-47.027968,0.9301
2018-07-13,0.7228,67.000456,-47.027973,0.199
2018-07-14,0.8594,67.000453,-47.027965,0.8269
2018-07-15,0.7735,67.000443,-47.027943,0.7998
2018-07-16,0.7407,67.000448,-47.027947,0.6063
2018-07-17,0.7896,67.000452,-47.02796,0.9987
2018-07-18,0.7424,67.00045,-47.02797,0.5934
2018-07-19,0.8116,67.000454,-47.027967,0.5966
