date,site,alb_sat,alb_AWS,cloud
2017_05_08,EGP,0.819,0.8222,0.4846
2017_05_08,KAN_L,0.633,0.6452,0.7755
2017_05_08,KAN_M,0.783,0.8709,0.7745
2017_05_08,KAN_U,0.828,0.903,0.8882
2017_05_08,KPC_L,0.699,0.7986,0.6038
2017_05_08,KPC_U,0.785,0.8191,0.6083
2017_05_08,NUK_L,0.566,0.7074,0.6072
2017_05_08,QAS_L,0.722,0.6848,0.6374
2017_05_08,QAS_M,0.756,0.7162,0.2218
2017_05_08,QAS_U,0.769,0.4977,1.0
2017_05_08,SCO_L,0.678,0.6556,0.3969
2017_05_08,SCO_U,0.736,0.7293,0.2439
2017_05_08,TAS_A,0.724,0.7028,0.2606
2017_05_08,THU_L,0.793,0.8369,0.797
2017_05_08,THU_U,0.812,0.8129,0.8176
2017_05_08,UPE_L,0.743,0.8677,0.9861
2017_05_08,UPE_U,0.804,0.9232,0.9932
2017_05_09,EGP,0.816,0.8262,0.4344
2017_05_09,KAN_L,0.615,0.5958,0.9674
2017_05_09,KAN_M,0.773,0.8133,0.9113
2017_05_09,KAN_U,0.825,0.9152,0.9577
2017_05_09,KPC_L,0.697,0.7834,0.6972
2017_05_09,KPC_U,0.783,0.8505,0.7285
2017_05_09,NUK_L,0.560,0.6034,0.8681
2017_05_09,QAS_L,0.721,0.6731,0.3927
2017_05_09,QAS_M,0.756,0.7283,0.4152
2017_05_09,QAS_U,0.768,0.3739,0.9662
2017_05_09,SCO_L,0.683,0.7819,0.9247
2017_05_09,SCO_U,0.734,0.7658,0.5745
2017_05_09,TAS_A,0.740,0.7607,0.5646
2017_05_09,THU_L,0.787,0.8323,0.6309
2017_05_09,THU_U,0.814,0.8091,0.5307
2017_05_09,UPE_L,0.737,0.7806,0.9435
2017_05_09,UPE_U,0.801,0.8219,0.6969
2017_05_10,EGP,0.815,0.8303,0.3164
2017_05_10,KAN_L,0.608,0.5602,0.2026
2017_05_10,KAN_M,0.773,0.7231,0.1545
2017_05_10,KAN_U,0.824,0.805,0.1386
2017_05_10,KPC_L,0.693,0.7898,0.2218
2017_05_10,KPC_U,0.783,0.8358,0.232
2017_05_10,NUK_K,0.547,0.1292,0.473
2017_05_10,NUK_L,0.553,0.5821,0.2711
2017_05_10,QAS_L,0.718,0.6657,0.4811
2017_05_10,QAS_M,0.756,0.768,0.5639
2017_05_10,QAS_U,0.768,0.6368,0.6553
2017_05_10,SCO_L,0.687,0.7132,0.3573
2017_05_10,SCO_U,0.725,0.8477,0.3775
2017_05_10,TAS_A,0.745,0.6988,0.3524
2017_05_10,THU_L,0.788,0.8251,0.8883
2017_05_10,THU_U,0.826,0.8198,0.9143
2017_05_10,UPE_L,0.716,0.7143,0.368
2017_05_10,UPE_U,0.802,0.7938,0.1096
2017_05_11,EGP,0.816,0.8203,0.4464
2017_05_11,KAN_L,0.608,0.6124,0.3989
2017_05_11,KAN_M,0.771,0.7556,0.3869
2017_05_11,KAN_U,0.823,0.8178,0.2066
2017_05_11,KPC_L,0.693,0.7898,0.2414
2017_05_11,KPC_U,0.780,0.8341,0.2062
2017_05_11,NUK_K,0.548,0.3302,0.1814
2017_05_11,NUK_L,0.552,0.5903,0.8222
2017_05_11,QAS_L,0.719,0.7051,0.632
2017_05_11,QAS_M,0.756,0.7358,0.6842
2017_05_11,QAS_U,0.766,0.722,0.4663
2017_05_11,SCO_L,0.667,0.6966,0.4156
2017_05_11,SCO_U,0.736,0.8282,0.3697
2017_05_11,TAS_A,0.743,0.7223,0.5522
2017_05_11,THU_L,0.787,0.7474,0.5476
2017_05_11,THU_U,0.832,0.7247,0.4506
2017_05_11,UPE_L,0.734,0.8318,0.8649
2017_05_11,UPE_U,0.803,0.8868,0.8651
2017_05_12,EGP,0.815,0.7781,0.3581
2017_05_12,KAN_L,0.599,0.7429,0.9205
2017_05_12,KAN_M,0.766,0.8045,0.8148
2017_05_12,KAN_U,0.822,0.862,0.6757
2017_05_12,KPC_L,0.694,0.7871,0.1609
2017_05_12,KPC_U,0.776,0.8274,0.2177
2017_05_12,NUK_K,0.544,0.4596,0.2158
2017_05_12,NUK_L,0.531,0.5405,0.528
2017_05_12,QAS_L,0.714,0.8151,0.711
2017_05_12,QAS_M,0.756,0.8613,0.7282
2017_05_12,QAS_U,0.762,0.7595,0.5546
2017_05_12,SCO_L,0.681,0.7895,0.707
2017_05_12,SCO_U,0.732,0.8306,0.6269
2017_05_12,TAS_A,0.743,0.8558,0.5914
2017_05_12,THU_L,0.782,0.7677,0.1262
2017_05_12,THU_U,0.832,0.806,0.0826
2017_05_12,UPE_L,0.734,0.8224,0.964
2017_05_12,UPE_U,0.803,0.7913,0.3157
2017_05_13,EGP,0.813,0.8158,0.2045
